,Unnamed: 0,mac,count,min_signal,max_signal,avg_signal,last_seen_signal,first_seen,last_seen,associated,node_mac,Unnamed: 11
0,0,00:71:c2:19:b4:f5,6.0,-78.0,-58.0,-65.0,-68.0,1583035162,1583035163.0,0.0,AC:86:74:92:C5:58,
1,1,18:a6:f7:0c:40:dd,76.0,-83.0,-51.0,-60.0,-66.0,1583035163,1583035166.0,0.0,AC:86:74:92:C5:58,
2,2,00:71:c2:19:b4:f5,12.0,-80.0,-62.0,-68.0,-64.0,1583035161,1583035172.0,0.0,AC:86:74:73:BC:08,
3,3,18:a6:f7:0c:40:dd,93.0,-77.0,-72.0,-74.0,-75.0,1583035161,1583035166.0,1.0,AC:86:74:73:BC:08,
4,4,7a:fc:1e:9a:a9:ae,2.0,-72.0,-69.0,-70.0,-69.0,1583035164,1583035164.0,0.0,AC:86:74:73:BC:08,
5,5,d8:97:ba:42:71:3e,1.0,-88.0,-88.0,-88.0,-88.0,1583035165,1583035165.0,0.0,AC:86:74:73:BC:08,
6,6,00:71:c2:19:b4:f5,17.0,-74.0,-55.0,-61.0,-70.0,1583035200,1583035220.0,0.0,AC:86:74:92:C5:58,
7,7,18:a6:f7:0c:40:dd,42.0,-70.0,-55.0,-57.0,-57.0,1583035166,1583035168.0,0.0,AC:86:74:92:C5:58,
8,8,d4:ae:05:a9:22:2b,2.0,-92.0,-91.0,-91.0,-91.0,1583035220,1583035220.0,0.0,AC:86:74:92:C5:58,
9,9,00:71:c2:19:b4:f5,16.0,-81.0,-65.0,-69.0,-66.0,1583035211,1583035240.0,0.0,AC:86:74:73:BC:08,
10,10,10:c7:53:19:fa:80,7.0,-85.0,-73.0,-79.0,-85.0,1583035224,1583035224.0,0.0,AC:86:74:73:BC:08,
11,11,d8:97:ba:42:71:3e,6.0,-90.0,-88.0,-88.0,-89.0,1583035205,1583035233.0,0.0,AC:86:74:73:BC:08,
12,12,00:71:c2:19:b4:f5,21.0,-78.0,-54.0,-63.0,-72.0,1583035229,1583035250.0,0.0,AC:86:74:92:C5:58,
13,13,10:c7:53:19:fa:80,3.0,-88.0,-85.0,-86.0,-88.0,1583035224,1583035224.0,0.0,AC:86:74:92:C5:58,
14,14,c8:d7:b0:ee:e4:59,1.0,-92.0,-92.0,-92.0,-92.0,1583035245,1583035245.0,0.0,AC:86:74:92:C5:58,
15,15,d4:ae:05:a9:22:2b,2.0,-92.0,-91.0,-91.0,-92.0,1583035244,1583035244.0,0.0,AC:86:74:92:C5:58,
16,16,da:a1:19:c0:d3:2b,1.0,-92.0,-92.0,-92.0,-92.0,1583035242,1583035242.0,0.0,AC:86:74:92:C5:58,
17,17,00:71:c2:19:b4:f5,12.0,-82.0,-65.0,-71.0,-77.0,1583035240,1583035261.0,0.0,AC:86:74:73:BC:08,
18,18,48:d6:d5:26:6d:0a,60.0,-78.0,-24.0,-45.0,-60.0,1583035252,1583035268.0,0.0,AC:86:74:73:BC:08,
19,19,c8:d7:b0:ee:e4:59,6.0,-89.0,-82.0,-84.0,-85.0,1583035245,1583035245.0,0.0,AC:86:74:73:BC:08,
20,20,d8:97:ba:42:71:3e,5.0,-89.0,-87.0,-88.0,-89.0,1583035244,1583035266.0,0.0,AC:86:74:73:BC:08,
21,21,ec:aa:a0:1c:03:dd,1.0,-92.0,-92.0,-92.0,-92.0,1583035263,1583035263.0,0.0,AC:86:74:73:BC:08,
22,22,00:71:c2:19:b4:f5,21.0,-73.0,-55.0,-62.0,-69.0,1583035260,1583035281.0,0.0,AC:86:74:92:C5:58,
23,23,48:d6:d5:26:6d:0a,55.0,-82.0,-66.0,-68.0,-70.0,1583035253,1583035268.0,0.0,AC:86:74:92:C5:58,
24,24,00:71:c2:19:b4:f5,16.0,-80.0,-64.0,-69.0,-65.0,1583035270,1583035300.0,0.0,AC:86:74:73:BC:08,
25,25,d8:97:ba:42:71:3e,4.0,-91.0,-89.0,-89.0,-91.0,1583035276,1583035298.0,0.0,AC:86:74:73:BC:08,
26,26,ec:aa:a0:1c:03:dd,1.0,-91.0,-91.0,-91.0,-91.0,1583035292,1583035292.0,0.0,AC:86:74:73:BC:08,
27,27,00:71:c2:19:b4:f5,18.0,-73.0,-54.0,-61.0,-69.0,1583035289,1583035310.0,0.0,AC:86:74:92:C5:58,
28,28,a0:10:81:6b:29:15,4.0,-92.0,-89.0,-90.0,-92.0,1583035299,1583035307.0,0.0,AC:86:74:92:C5:58,
29,29,dc:f7:56:9a:c9:68,2.0,-91.0,-90.0,-90.0,-90.0,1583035291,1583035291.0,0.0,AC:86:74:92:C5:58,
30,30,00:71:c2:19:b4:f5,10.0,-83.0,-66.0,-70.0,-67.0,1583035309,1583035330.0,0.0,AC:86:74:73:BC:08,
31,31,24:18:1d:c9:b3:1b,2.0,-93.0,-91.0,-92.0,-91.0,1583035330,1583035330.0,0.0,AC:86:74:73:BC:08,
32,32,d8:97:ba:42:71:3e,6.0,-90.0,-89.0,-89.0,-90.0,1583035309,1583035328.0,0.0,AC:86:74:73:BC:08,
33,33,00:71:c2:19:b4:f5,17.0,-78.0,-53.0,-60.0,-58.0,1583035320,1583035341.0,0.0,AC:86:74:92:C5:58,
34,34,24:18:1d:c9:b3:1b,4.0,-92.0,-91.0,-91.0,-91.0,1583035330,1583035330.0,0.0,AC:86:74:92:C5:58,
35,35,00:71:c2:19:b4:f5,15.0,-78.0,-65.0,-69.0,-76.0,1583035330,1583035360.0,0.0,AC:86:74:73:BC:08,
36,36,d8:97:ba:42:71:3e,4.0,-90.0,-88.0,-89.0,-89.0,1583035338,1583035360.0,0.0,AC:86:74:73:BC:08,
37,37,e6:b5:2a:18:13:ad,3.0,-90.0,-85.0,-87.0,-85.0,1583035356,1583035356.0,0.0,AC:86:74:73:BC:08,
38,38,00:71:c2:19:b4:f5,19.0,-79.0,-53.0,-61.0,-62.0,1583035351,1583035370.0,0.0,AC:86:74:92:C5:58,
