,id_,institution,post,domaine
0,12155,HI,Child Protection & Adoption Officer,- - Non-defini - -
1,12164,CRS,Senior Project Officer WASH,Sciences de l’Ingénieur
2,12154,Lumos,"Social Worker, Transforming Care",Sciences Humaines et Sociales
3,12156,Lumos,Assistant à la participation des enfants,Sciences Humaines et Sociales
4,12165,FAO,Spécialiste en Communication,Communication et Journalisme
5,12151,Secteur ong,Development Coordinator,- - Non-defini - -
6,12153,Concern Worldwide Haiti,Officier (ère) Administration et Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce"
7,12152,Caritas Suisse,Ingenieur Civil,Sciences de l’Ingénieur
8,12158,FAES,Spécialiste en Administration et en Finance,"Management/Gestion, Finance, Comptabilité et Commerce"
9,12149,PNUD Haiti,Conseiller (ère) Technique Senior,Sciences économiques et politiques
10,12113,ICAP-Haiti,Chauffeur,Transport et Logistique
11,12157,"Chemonics International / Projet de reboisement USAID										
                                                            Close soon",Resiliency & Agribusiness Coordinator,Agriculture – Agroalimentaire
12,12104,"SACOMA																				
                                                            Close soon",Directeur des Opérations,Sécurité
13,12143,"ASB																				
                                                      Close today",Officier Chargé (e) de la Communication,Communication et Journalisme
0,12144,Save the Children en Haiti,Coordonnateur(trice) de Projet – Genre/Protection,"Management/Gestion, Finance, Comptabilité et Commerce"
1,12145,Save the Children en Haiti,Offcier de Protection Sud/Grand’Anse,Sciences Humaines et Sociales
2,12137,Lumos,Assistant Développement Économique,Sciences économiques et politiques
3,12138,Lumos,Assistant (e) en soins familiaux et communautaires,Sciences Humaines et Sociales
4,12139,Lumos,Finance Assistant,"Management/Gestion, Finance, Comptabilité et Commerce"
5,12140,CRS,Literacy Supervisor,Sciences de l’Education
6,12141,CRS,Senior Project Officer Literacy,Sciences économiques et politiques
7,12142,BEST Project_USAID/LUMOS,Officier Logistique,Transport et Logistique
8,12131,AMAGA,Coordonnateur (trice) technique,"Management/Gestion, Finance, Comptabilité et Commerce"
9,12148,FONKOZE,Aksyon M&E (Monitoring and Evaluation) Officer,Sciences économiques et politiques
10,12134,Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Agent de Crédit,"Management/Gestion, Finance, Comptabilité et Commerce"
11,12130,MARNDR/TPR,"Spécialiste en Communication, Engagement citoyen et Gestion des Plaintes",Sciences Humaines et Sociales
12,12150,Solidarites International,Responsable d'activité EHA,Sciences de l’Ingénieur
13,12147,SIKSE,Directeur Exécutif Adjoint/Directrice Exécutive Adjointe,"Management/Gestion, Finance, Comptabilité et Commerce"
14,12136,Mercy Corps Haiti,"Assistant (e) Finance (Caissier, Caissière)","Management/Gestion, Finance, Comptabilité et Commerce"
15,12132,Mercy Corps Haiti,Assistant(e) des Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce"
16,12133,Mercy Corps Haiti,"Mobilisateur (rice) Communautaire, programme M-RAC",Sciences Humaines et Sociales
17,12126,IFOS,"Expert/e-Conseiller-re en Gouvernance, Décentralisation et Mobilisation de ressources",Sciences économiques et politiques
18,12096,DAI/WASH,Agent de Liaison,Sciences Humaines et Sociales
19,12094,Brasserie de la Couronne S.A.,Chef Garage Forklifts,Mécanique
20,12119,Solidarites International,Responsable Programme EHA (Port-au-Prince),"Management/Gestion, Finance, Comptabilité et Commerce"
21,12129,Concern Worldwide Haiti,Chargé de Programme Transfert Monétaire,Sciences Humaines et Sociales
22,12127,MDM Canada,Responsable Logistique et Sécurité,Transport et Logistique
23,12135,Plan International-Haiti,M&E Assistant,"Management/Gestion, Finance, Comptabilité et Commerce"
24,12123,MSH,Assistante Administrative,Secrétariat
25,12124,MSH,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce"
26,12120,MSH,Health and Community Engagement Specialist (Full-Time Consutant),Santé et Professions médicales
27,12085,Secteur prive,Gestionnaire de Stock,"Management/Gestion, Finance, Comptabilité et Commerce"
28,12118,Caris Foundation International,HIV Technical Lead,Santé et Professions médicales
29,12128,FONKOZE,Koòdinatè AKSYON pou pwodiksyon riral,Agriculture – Agroalimentaire
30,12114,Caris Foundation International,Digital Media Specialist,Communication et Journalisme
31,12101,MDM Canada,Coordonnateur Technique,"Management/Gestion, Finance, Comptabilité et Commerce"
32,12121,Habitat pour l'humanite Haiti,Lead Infrastructure Retrofit and Coordinator,"Architecture, Urbanisme et Aménagement du territoire"
33,12115,Caris Foundation International,Child Health Regional Technical Lead,Santé et Professions médicales
34,12116,Caris Foundation International,Maternal Health Regional Technical Lead,Santé et Professions médicales
35,12105,GOAL Haiti,Resilience Partnership and Learning Manager,Environnement et Sciences de la Terre
36,12106,GOAL Haiti,Infrastructures Manager,Sciences de l’Ingénieur
37,12107,PPSELD,Administrative Advisor,"Management/Gestion, Finance, Comptabilité et Commerce"
38,12103,PNUD Haiti,Assistant (e) Administratif (ve)/RCO,Secrétariat
39,12080,Secteur prive,Assistant Comptable Analytique,"Management/Gestion, Finance, Comptabilité et Commerce"
40,12077,Secteur ong,Software Developer,- - Non-defini - -
41,12117,Plan International-Haiti,Nutrition Officer,Santé et Professions médicales
42,12109,FEJ,Coordonnateur (trice),Sciences de l’Education
43,12110,FEJ,Ingénieur en batiment,"Architecture, Urbanisme et Aménagement du territoire"
44,12108,Expertise France,Inspecteurs en bâtiments (H/F),"Architecture, Urbanisme et Aménagement du territoire"
45,12091,HAS,Pharmacien/ne,Santé et Professions médicales
46,12111,Habitat pour l'humanite Haiti,Ingenieur de Terrain,"Architecture, Urbanisme et Aménagement du territoire"
47,12112,Habitat pour l'humanite Haiti,Mobilisateur Communautaire,Sciences Humaines et Sociales
48,12086,Plan International-Haiti,Country Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
0,12102,CCM HAITI,Assistante Administrative,"Management/Gestion, Finance, Comptabilité et Commerce"
1,12097,UTE/MEF,Consultant individuel,Sciences de l’Ingénieur
2,12088,Netherlands Red Cross,Agronome Terrain,Agriculture – Agroalimentaire
3,12089,Save the Children en Haiti,Coordonateur (trice) du Programme d’Urgence dans le Sud et la Grand’Anse,"Management/Gestion, Finance, Comptabilité et Commerce"
4,12082,WeltHungerHilfe (Agro Action Allemande),Agent Administratif,"Management/Gestion, Finance, Comptabilité et Commerce"
5,12083,WeltHungerHilfe (Agro Action Allemande),Coordonnateur de terrain,Agriculture – Agroalimentaire
6,12099,Fondation Serovie,Développeur de site web et d'application mobile,Sciences Informatiques
7,12098,Secteur prive,Directrice Exécutive,"Management/Gestion, Finance, Comptabilité et Commerce"
8,12093,FHI/Humanité & Inclusion_ HI,Agent de liaison sécurité,Sécurité
9,12040,Secteur prive,Responsable Contrôle Interne,"Management/Gestion, Finance, Comptabilité et Commerce"
10,12078,UTE/MEF,"Officier de Communication du Service Environnement, Santé, Sureté et Social (ESSS) du Parc Industrie",Communication et Journalisme
11,12075,NGO RH,Conseiller(e) en Planification familiale,Santé et Professions médicales
12,12037,Secteur ong,Monitoring & Evaluation officer,- - Non-defini - -
13,12090,Plan International-Haiti,Grants Management Coordinator-Maternity Cover,"Management/Gestion, Finance, Comptabilité et Commerce"
14,12087,Global Communities - (formerly CHF),Comptable Senior,"Management/Gestion, Finance, Comptabilité et Commerce"
15,12066,Concern Worldwide Haiti,Agent de terrain,Sciences économiques et politiques
16,12067,Concern Worldwide Haiti,Chargé (e) de Programme Nutrition,Sciences Humaines et Sociales
17,12069,Concern Worldwide Haiti,Chargé (e) de Programme Marchés,Sciences Humaines et Sociales
18,12070,Concern Worldwide Haiti,Chargé (e) de Programme Sécurité Alimentaire et Moyens d’Existence (SAME),Sciences Humaines et Sociales
19,12084,Chemonics International / Projet de reboisement USAID,Monitoring Evaluation and Learning Coordinator,Agriculture – Agroalimentaire
20,12063,Caritas Suisse,Encadreur/se de proximité /Chargé/e des opérations sur le terrain -  SUD,Sciences de l’Education
21,12064,UCMIT/UCP,Officier – Gestionnaire de SALVH,Sciences économiques et politiques
22,12055,PPSELD,General Manager,Sciences de l’Ingénieur
23,12056,RTI/GERE,Secretaires Techniques,Secrétariat
24,12057,RTI/GERE,Documentaliste-Archiviste,Secrétariat
25,12058,RTI/GERE,Commis Administratif,"Management/Gestion, Finance, Comptabilité et Commerce"
26,12079,Solidarites International,Responsable Securité Alimentaire et Nutritionnelle,Agriculture – Agroalimentaire
27,12062,UTE/MEF,"Chef de Service Espaces Verts, Propreté, Déchets du Parc Industriel de Caracol",Sciences de l’Ingénieur
28,12041,Secteur prive,Représentant Commercial Showroom,"Management/Gestion, Finance, Comptabilité et Commerce"
29,12045,AISFH,Chargé(e) de communication,Communication et Journalisme
30,11980,ISTEAH,Professeur-e en Sciences juridiques,Sciences Informatiques
31,12076,Solidarites International,Responsable d'activité EHA / DRR,Sciences de l’Ingénieur
32,12046,CRS,Responsable Technique Volet Sante,Santé et Professions médicales
33,12020,Secteur ong,Legal Advisor,- - Non-defini - -
34,12016,"Acceso Peanut Enterprise Corporation, S.A.","Consultant, Financial Reporting & Systems","Management/Gestion, Finance, Comptabilité et Commerce"
35,12065,KPK,Directeur de Crédit,"Management/Gestion, Finance, Comptabilité et Commerce"
36,12014,"Quala Dominicana, S.A.",Gerante Nacional de Ventas - Port-au-Prince- Espanol,Marketing
37,12015,"Quala Dominicana, S.A.","Jefe de Planta, Port-au-Prince, Espanol",Sciences de l’Ingénieur
38,12047,FHI/Humanité & Inclusion_ HI,Adjoint/e Chef de Projet,"Management/Gestion, Finance, Comptabilité et Commerce"
39,12048,FHI/Humanité & Inclusion_ HI,Responsable des Achats et Transports (f/h),"Management/Gestion, Finance, Comptabilité et Commerce"
40,12049,FHI/Humanité & Inclusion_ HI,Responsable des opérations de stockage et de chargement (f/h),Transport et Logistique
41,12050,FHI/Humanité & Inclusion_ HI,Chargé(e) de Ramassage de frets,Transport et Logistique
42,12052,FHI/Humanité & Inclusion_ HI,Responsable des Opérations Transport (f/h),Transport et Logistique
43,12043,Concern Worldwide Haiti,Officier (ère) finance en charge des partenariats,"Management/Gestion, Finance, Comptabilité et Commerce"
44,12013,Secteur ong,Faith-Based Initiative Program Manager,- - Non-defini - -
45,12051,FAES,Contrôleur Financier,"Management/Gestion, Finance, Comptabilité et Commerce"
46,12053,FAES,Spécialiste en  Sciences Sociales,Sciences Humaines et Sociales
47,12025,SACOMA,Ingénieur Electronique,Sécurité
48,12044,ZL/PIH,Senior Monitoring and Evaluation Manager,- - Non-defini - -
0,12005,Clinton Health Access Initiative,"Associate, Haiti National",Santé et Professions médicales
1,12024,BEST Project_USAID/LUMOS,Deputy Chief of Party,"Management/Gestion, Finance, Comptabilité et Commerce"
2,12042,RTI/GERE,Conseiller (ère) Technique Senior,Sciences économiques et politiques
3,11983,ISTEAH,Associé-e de recherche-développement en Agriculture D,Agriculture – Agroalimentaire
4,12038,Mercy Corps Haiti,Logistic Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
5,12039,Mercy Corps Haiti,Officier d’approvisionnement,"Management/Gestion, Finance, Comptabilité et Commerce"
6,12035,Mercy Corps Haiti,Officier de Communication,Communication et Journalisme
7,12036,Mercy Corps Haiti,Manager de Program Adjoint Gestion de Risque de Désastre (GRD),"Management/Gestion, Finance, Comptabilité et Commerce"
8,12030,ICAP-Haiti,Finance & Administration Director,"Management/Gestion, Finance, Comptabilité et Commerce"
9,12031,LNSP / Projet TB / GF/ PSI,Techniciens de Laboratoire,Santé et Professions médicales
10,12009,PNUD Haiti,Republication: Chef de Projet Spotlight,"Management/Gestion, Finance, Comptabilité et Commerce"
11,12033,ZL/PIH,Finance Grant Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
12,12034,ZL/PIH,Project Manager,Santé et Professions médicales
13,12023,CARE Haiti,Chargé.e d’appui au Chef de projet,Sciences Humaines et Sociales
14,12011,Solidarites International,Une (un) Coordinateur (trice) Financier(re),"Management/Gestion, Finance, Comptabilité et Commerce"
15,12012,Solidarites International,Une (un) Coordinatrice (teur) Ressources Humaines,"Management/Gestion, Finance, Comptabilité et Commerce"
16,12027,Concern Worldwide Haiti,Assistant(e) Bases de Données,Sciences Informatiques
17,12008,INCAH,Responsable Administratif et Financier,"Management/Gestion, Finance, Comptabilité et Commerce"
18,11966,PNUD Haiti,Head of Solutions Mapping,"Management/Gestion, Finance, Comptabilité et Commerce"
19,11967,PNUD Haiti,Head of Exploration,"Management/Gestion, Finance, Comptabilité et Commerce"
20,11968,PNUD Haiti,Head of Experimentation,"Management/Gestion, Finance, Comptabilité et Commerce"
21,12026,FNUAP,Responsable des Médias Sociaux,Communication et Journalisme
22,12017,FAO,Chargé des Opérations,Agriculture – Agroalimentaire
23,12029,AVSF,Technicien en tracabilité,Agriculture – Agroalimentaire
24,11986,GRET Haiti,Responsable de volet Périmètres irrigués,Agriculture – Agroalimentaire
25,11990,PPSELD,Commercial and Customer Service Manager,Sciences de l’Ingénieur
26,11988,BRH,Administrateur Réseau Senior,Sciences Informatiques
27,11989,BRH,Analyste/ Cybersécurité,Sciences Informatiques
28,12010,GHSC-PSM,Human Resources Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
29,12018,PNUD Haiti,Chargé (e) des Affaires Humanitaires/OCHA - Republication,Sciences économiques et politiques
30,11987,BEST Project_USAID/LUMOS,"Monitoring, Evaluation and Research Coordinator",Sciences Humaines et Sociales
31,12004,Entrepreneurs du Monde/Palmis Mikwofinans Sosyal,Directeur d'agence,"Management/Gestion, Finance, Comptabilité et Commerce"
32,11975,PNUD Haiti,Associé(e) National(e) des Affaires Humanitaires /OCHA,Sciences économiques et politiques
33,11979,FAO,Spécialiste en « Communication Sensible au Genre»,Sciences Humaines et Sociales
34,11969,PNUD Haiti,Assistant RH,"Management/Gestion, Finance, Comptabilité et Commerce"
35,11964,FAO,Consultant Suivi et Evaluation,Sciences économiques et politiques
36,11972,ISTEAH,Technicien - TIC,Sciences Informatiques
37,11991,Compassion Health,Spécialiste des Soins Cliniques,Santé et Professions médicales
38,11992,Compassion Health,Facilitateur de Conception Centrée sur l'Humain / Communautés de Pratique,Santé et Professions médicales
39,11993,Compassion Health,Développeur de Systèmes d'Information sur la Gestion de la Santé,Santé et Professions médicales
40,11994,Compassion Health,Lead - Amélioration Continue de la Qualité/Recherche de Données et Utilisation de l'Information,Santé et Professions médicales
41,11995,Compassion Health,Spécialistes en Information Stratégique / Suivi et Évaluation,Sciences économiques et politiques
42,11996,Compassion Health,Spécialiste en Soins Pharmaceutiques,Santé et Professions médicales
43,11997,Compassion Health,Directeur de Projet - IPCOS,Santé et Professions médicales
44,11998,Compassion Health,Spécialiste en Gestion des Subventions,"Management/Gestion, Finance, Comptabilité et Commerce"
