,id_,institution,post,domaine
0,12119,Solidarites International,Responsable Programme EHA (Port-au-Prince),"Management/Gestion, Finance, Comptabilité et Commerce"
1,12129,Concern Worldwide Haiti,Chargé de Programme Transfert Monétaire,Sciences Humaines et Sociales
2,12127,MDM Canada,Responsable Logistique et Sécurité,Transport et Logistique
3,12135,Plan International-Haiti,M&E Assistant,"Management/Gestion, Finance, Comptabilité et Commerce"
4,12123,MSH,Assistante Administrative,Secrétariat
5,12124,MSH,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce"
6,12120,MSH,Health and Community Engagement Specialist (Full-Time Consutant),Santé et Professions médicales
7,12085,Secteur prive,Gestionnaire de Stock,"Management/Gestion, Finance, Comptabilité et Commerce"
8,12118,Caris Foundation International,HIV Technical Lead,Santé et Professions médicales
9,12128,FONKOZE,Koòdinatè AKSYON pou pwodiksyon riral,Agriculture – Agroalimentaire
10,12114,Caris Foundation International,Digital Media Specialist,Communication et Journalisme
11,12101,MDM Canada,Coordonnateur Technique,"Management/Gestion, Finance, Comptabilité et Commerce"
12,12121,Habitat pour l'humanite Haiti,Lead Infrastructure Retrofit and Coordinator,"Architecture, Urbanisme et Aménagement du territoire"
13,12115,Caris Foundation International,Child Health Regional Technical Lead,Santé et Professions médicales
14,12116,Caris Foundation International,Maternal Health Regional Technical Lead,Santé et Professions médicales
15,12105,GOAL Haiti,Resilience Partnership and Learning Manager,Environnement et Sciences de la Terre
16,12106,GOAL Haiti,Infrastructures Manager,Sciences de l’Ingénieur
17,12107,PPSELD,Administrative Advisor,"Management/Gestion, Finance, Comptabilité et Commerce"
18,12103,PNUD Haiti,Assistant (e) Administratif (ve)/RCO,Secrétariat
19,12080,Secteur prive,Assistant Comptable Analytique,"Management/Gestion, Finance, Comptabilité et Commerce"
20,12077,Secteur ong,Software Developer,- - Non-defini - -
21,12117,Plan International-Haiti,Nutrition Officer,Santé et Professions médicales
22,12109,FEJ,Coordonnateur (trice),Sciences de l’Education
23,12110,FEJ,Ingénieur en batiment,"Architecture, Urbanisme et Aménagement du territoire"
24,12108,Expertise France,Inspecteurs en bâtiments (H/F),"Architecture, Urbanisme et Aménagement du territoire"
25,12091,HAS,Pharmacien/ne,Santé et Professions médicales
26,12111,Habitat pour l'humanite Haiti,Ingenieur de Terrain,"Architecture, Urbanisme et Aménagement du territoire"
27,12112,Habitat pour l'humanite Haiti,Mobilisateur Communautaire,Sciences Humaines et Sociales
28,12086,Plan International-Haiti,Country Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
29,12054,Secteur prive,Brand Manager,Marketing
30,12102,CCM HAITI,Assistante Administrative,"Management/Gestion, Finance, Comptabilité et Commerce"
31,12097,UTE/MEF,Consultant individuel,Sciences de l’Ingénieur
32,12088,Netherlands Red Cross,Agronome Terrain,Agriculture – Agroalimentaire
33,12089,Save the Children en Haiti,Coordonateur (trice) du Programme d’Urgence dans le Sud et la Grand’Anse,"Management/Gestion, Finance, Comptabilité et Commerce"
34,12082,WeltHungerHilfe (Agro Action Allemande),Agent Administratif,"Management/Gestion, Finance, Comptabilité et Commerce"
35,12083,WeltHungerHilfe (Agro Action Allemande),Coordonnateur de terrain,Agriculture – Agroalimentaire
36,12099,Fondation Serovie,Développeur de site web et d'application mobile,Sciences Informatiques
37,12098,Secteur prive,Directrice Exécutive,"Management/Gestion, Finance, Comptabilité et Commerce"
38,12093,FHI/Humanité & Inclusion_ HI,Agent de liaison sécurité,Sécurité
39,12040,Secteur prive,Responsable Contrôle Interne,"Management/Gestion, Finance, Comptabilité et Commerce"
40,12078,UTE/MEF,"Officier de Communication du Service Environnement, Santé, Sureté et Social (ESSS) du Parc Industrie",Communication et Journalisme
41,12075,NGO RH,Conseiller(e) en Planification familiale,Santé et Professions médicales
42,12037,Secteur ong,Monitoring & Evaluation officer,- - Non-defini - -
43,12090,Plan International-Haiti,Grants Management Coordinator-Maternity Cover,"Management/Gestion, Finance, Comptabilité et Commerce"
44,12087,Global Communities - (formerly CHF),Comptable Senior,"Management/Gestion, Finance, Comptabilité et Commerce"
45,12066,Concern Worldwide Haiti,Agent de terrain,Sciences économiques et politiques
46,12067,Concern Worldwide Haiti,Chargé (e) de Programme Nutrition,Sciences Humaines et Sociales
47,12069,Concern Worldwide Haiti,Chargé (e) de Programme Marchés,Sciences Humaines et Sociales
48,12070,Concern Worldwide Haiti,Chargé (e) de Programme Sécurité Alimentaire et Moyens d’Existence (SAME),Sciences Humaines et Sociales
49,12119,Solidarites International,Responsable Programme EHA (Port-au-Prince),"Management/Gestion, Finance, Comptabilité et Commerce"
50,12129,Concern Worldwide Haiti,Chargé de Programme Transfert Monétaire,Sciences Humaines et Sociales
51,12127,MDM Canada,Responsable Logistique et Sécurité,Transport et Logistique
52,12135,Plan International-Haiti,M&E Assistant,"Management/Gestion, Finance, Comptabilité et Commerce"
53,12123,MSH,Assistante Administrative,Secrétariat
54,12124,MSH,Comptable,"Management/Gestion, Finance, Comptabilité et Commerce"
55,12120,MSH,Health and Community Engagement Specialist (Full-Time Consutant),Santé et Professions médicales
56,12085,Secteur prive,Gestionnaire de Stock,"Management/Gestion, Finance, Comptabilité et Commerce"
57,12118,Caris Foundation International,HIV Technical Lead,Santé et Professions médicales
58,12128,FONKOZE,Koòdinatè AKSYON pou pwodiksyon riral,Agriculture – Agroalimentaire
59,12114,Caris Foundation International,Digital Media Specialist,Communication et Journalisme
60,12101,MDM Canada,Coordonnateur Technique,"Management/Gestion, Finance, Comptabilité et Commerce"
61,12121,Habitat pour l'humanite Haiti,Lead Infrastructure Retrofit and Coordinator,"Architecture, Urbanisme et Aménagement du territoire"
62,12115,Caris Foundation International,Child Health Regional Technical Lead,Santé et Professions médicales
63,12116,Caris Foundation International,Maternal Health Regional Technical Lead,Santé et Professions médicales
64,12105,GOAL Haiti,Resilience Partnership and Learning Manager,Environnement et Sciences de la Terre
65,12106,GOAL Haiti,Infrastructures Manager,Sciences de l’Ingénieur
66,12107,PPSELD,Administrative Advisor,"Management/Gestion, Finance, Comptabilité et Commerce"
67,12103,PNUD Haiti,Assistant (e) Administratif (ve)/RCO,Secrétariat
68,12080,Secteur prive,Assistant Comptable Analytique,"Management/Gestion, Finance, Comptabilité et Commerce"
69,12077,Secteur ong,Software Developer,- - Non-defini - -
70,12117,Plan International-Haiti,Nutrition Officer,Santé et Professions médicales
71,12109,FEJ,Coordonnateur (trice),Sciences de l’Education
72,12110,FEJ,Ingénieur en batiment,"Architecture, Urbanisme et Aménagement du territoire"
73,12108,Expertise France,Inspecteurs en bâtiments (H/F),"Architecture, Urbanisme et Aménagement du territoire"
74,12091,HAS,Pharmacien/ne,Santé et Professions médicales
75,12111,Habitat pour l'humanite Haiti,Ingenieur de Terrain,"Architecture, Urbanisme et Aménagement du territoire"
76,12112,Habitat pour l'humanite Haiti,Mobilisateur Communautaire,Sciences Humaines et Sociales
77,12086,Plan International-Haiti,Country Finance Manager,"Management/Gestion, Finance, Comptabilité et Commerce"
78,12054,Secteur prive,Brand Manager,Marketing
79,12102,CCM HAITI,Assistante Administrative,"Management/Gestion, Finance, Comptabilité et Commerce"
80,12097,UTE/MEF,Consultant individuel,Sciences de l’Ingénieur
81,12088,Netherlands Red Cross,Agronome Terrain,Agriculture – Agroalimentaire
82,12089,Save the Children en Haiti,Coordonateur (trice) du Programme d’Urgence dans le Sud et la Grand’Anse,"Management/Gestion, Finance, Comptabilité et Commerce"
83,12082,WeltHungerHilfe (Agro Action Allemande),Agent Administratif,"Management/Gestion, Finance, Comptabilité et Commerce"
84,12083,WeltHungerHilfe (Agro Action Allemande),Coordonnateur de terrain,Agriculture – Agroalimentaire
85,12099,Fondation Serovie,Développeur de site web et d'application mobile,Sciences Informatiques
86,12098,Secteur prive,Directrice Exécutive,"Management/Gestion, Finance, Comptabilité et Commerce"
87,12093,FHI/Humanité & Inclusion_ HI,Agent de liaison sécurité,Sécurité
